report_id,date,source,category,priority,report_text,classification,confidence_score
RPT0153,2024-10-04,OSINT,Cyber Incident,MEDIUM,Government website faced temporary outage in Bangalore due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,84
RPT0083,2024-12-10,Cyber Intel,Entertainment,LOW,Bollywood production house announced shooting schedule at Chennai. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,87
RPT0148,2024-11-24,Cyber Intel,Diplomatic,MEDIUM,Delegation from Afghanistan arrives in Chennai for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,80
RPT0027,2024-12-09,Social Media,Business,LOW,Tech company InfoTech Solutions Pvt Ltd announced expansion plans in Mumbai. Will create 2000 new jobs in next fiscal year. CEO Priya Malhotra addressed shareholders at annual meeting.,UNCLASSIFIED,85
RPT0156,2024-10-12,Satellite,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Kandla Port region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,80
RPT0099,2024-11-10,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Delhi region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,79
RPT0112,2024-11-14,Media Monitoring,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Ahmedabad for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,84
RPT0077,2024-11-03,Social Media,Social,LOW,Annual cultural festival begins in Delhi. Artists from 15 states participating in week-long event. Smart Systems India providing technical infrastructure for the venue.,UNCLASSIFIED,88
RPT0037,2024-10-31,Media Monitoring,Infrastructure,LOW,Highway construction project between Ahmedabad and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,92
RPT0165,2024-10-15,Field Report,Espionage,HIGH,Foreign national Zaheer Khan under surveillance for suspicious activities near military installation at Mundra Port. Possible intelligence gathering for ISI Karachi Operations. Hizbul Mujahideen Operative Cell contacts identified.,SECRET,85
RPT0023,2024-10-02,Social Media,Infrastructure,LOW,Highway construction project between Delhi and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,83
RPT0105,2024-10-29,Cyber Intel,Health,LOW,New hospital facility inaugurated in Pune with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,75
RPT0076,2024-11-12,Field Report,Infrastructure,LOW,Highway construction project between Delhi and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,80
RPT0147,2024-11-28,Cyber Intel,Cyber Incident,MEDIUM,Government website faced temporary outage in Bangalore due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,68
RPT0012,2024-11-16,Field Report,Health,LOW,New hospital facility inaugurated in Hyderabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,81
RPT0007,2024-10-12,Field Report,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Delhi. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,86
RPT0028,2024-10-03,Field Report,Health,LOW,New hospital facility inaugurated in Hyderabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,82
RPT0113,2024-10-04,OSINT,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Ahmedabad for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,79
RPT0005,2024-11-27,OSINT,Technology,LOW,IIT Kolkata researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,80
RPT0033,2024-11-26,OSINT,Weather,LOW,Meteorological department predicts heavy rainfall in Ahmedabad region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,82
RPT0102,2024-10-27,Social Media,Sports,LOW,Cricket match between India and Bangladesh scheduled at Pune. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,75
RPT0129,2024-11-27,Social Media,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Mumbai. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,67
RPT0096,2024-10-21,Cyber Intel,Health,LOW,New hospital facility inaugurated in Ahmedabad with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,83
RPT0011,2024-10-11,Cyber Intel,Entertainment,LOW,Bollywood production house announced shooting schedule at Delhi. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,83
RPT0115,2024-11-29,Field Report,Diplomatic,MEDIUM,Delegation from Nepal arrives in Jaipur for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,79
RPT0134,2024-11-05,Social Media,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Northeast Region. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,63
RPT0001,2024-10-04,Media Monitoring,Politics,LOW,Chief Minister Rajesh Mehta inaugurated new metro line in Kolkata. Project worth 5000 crore rupees completed ahead of schedule. Infrastructure Minister Sunita Kapoor was also present at the ceremony.,UNCLASSIFIED,82
RPT0137,2024-10-17,OSINT,Cyber Incident,MEDIUM,Government website faced temporary outage in Kandla Port due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,78
RPT0071,2024-10-23,Cyber Intel,Sports,LOW,Cricket match between India and South Africa scheduled at Hyderabad. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,82
RPT0065,2024-10-21,Social Media,Entertainment,LOW,Bollywood production house announced shooting schedule at Ahmedabad. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,88
RPT0045,2024-12-02,Cyber Intel,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Chennai.,UNCLASSIFIED,76
RPT0124,2024-12-12,OSINT,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Kashmir. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,75
RPT0029,2024-10-31,OSINT,Sports,LOW,Cricket match between India and New Zealand scheduled at Delhi. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,90
RPT0041,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Chennai.,UNCLASSIFIED,81
RPT0139,2024-11-02,Media Monitoring,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Kandla Port for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,72
RPT0140,2024-10-10,Field Report,Environmental,MEDIUM,Illegal construction activity reported near protected forest area in Delhi. Forest department investigating the matter. Kashmir Hawala Network suspected of financing unauthorized construction.,RESTRICTED,85
RPT0026,2024-12-04,Media Monitoring,Entertainment,LOW,Bollywood production house announced shooting schedule at Chennai. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,86
RPT0024,2024-10-15,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Pune region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,89
RPT0145,2024-10-23,OSINT,Diplomatic,MEDIUM,Delegation from Pakistan arrives in Bangalore for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,73
RPT0082,2024-11-09,Field Report,Infrastructure,LOW,Highway construction project between Pune and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,87
RPT0080,2024-12-06,Field Report,Sports,LOW,Cricket match between India and New Zealand scheduled at Chennai. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,88
RPT0085,2024-11-06,Social Media,Entertainment,LOW,Bollywood production house announced shooting schedule at Pune. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,94
RPT0040,2024-11-22,OSINT,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Mumbai.,UNCLASSIFIED,76
RPT0109,2024-10-07,Tip-off,Accidents,MEDIUM,"Gas leak reported at industrial facility in Jaipur. 15 workers hospitalized, area evacuated as precautionary measure. Gujarat Maritime Solutions facility under investigation. Northeast Logistics Services transport suspended temporarily.",RESTRICTED,66
RPT0087,2024-10-22,Field Report,Health,LOW,New hospital facility inaugurated in Delhi with 500 bed capacity. Equipped with modern medical equipment. India Business Council provided partial funding for the healthcare initiative.,UNCLASSIFIED,91
RPT0128,2024-12-02,Informant,Labor Dispute,MEDIUM,Workers at manufacturing facility in Ahmedabad staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,80
RPT0176,2024-11-22,Informant,Cyber Attack,HIGH,Sophisticated malware detected targeting critical infrastructure in Kolkata. Attack vector traced to IP addresses in Pakistan. Jaish Module Pulwama Cell digital operations wing suspected. Data breach confirmed affecting multiple government systems.,SECRET,95
RPT0167,2024-11-28,Cyber Intel,Espionage,HIGH,Foreign national Zaheer Khan under surveillance for suspicious activities near military installation at Kolkata. Possible intelligence gathering for ISI Karachi Operations. Hizbul Mujahideen Operative Cell contacts identified.,SECRET,89
RPT0048,2024-11-07,Social Media,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,92
RPT0095,2024-11-26,Cyber Intel,Weather,LOW,Meteorological department predicts heavy rainfall in Jaipur region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,92
RPT0138,2024-11-30,Tip-off,Cyber Incident,MEDIUM,Government website faced temporary outage in Kandla Port due to technical glitch. Services restored within 2 hours. Youth Rights Collective claiming denial of service but investigation ongoing.,RESTRICTED,65
RPT0169,2024-11-04,Social Media,Maritime Threat,HIGH,"Unidentified vessel spotted 15 nautical miles from Mumbai coast. Not responding to coast guard signals, possible smuggling attempt. Border Weapon Smuggling Network suspected. Golden Triangle Connection drug shipment likely.",SECRET,88
RPT0062,2024-11-06,Field Report,Entertainment,LOW,Bollywood production house announced shooting schedule at Chennai. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,81
RPT0074,2024-10-29,Cyber Intel,Technology,LOW,IIT Chennai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,85
RPT0034,2024-10-09,Social Media,Technology,LOW,IIT Mumbai researchers develop new AI algorithm for agricultural prediction. Paper published in international journal. Research funded by Digital Innovation Labs in partnership with Tech Dynamics Corporation.,UNCLASSIFIED,92
RPT0044,2024-12-09,Media Monitoring,Sports,LOW,Cricket match between India and Australia scheduled at Delhi. Expected crowd of 50000 spectators. Security arrangements finalized by local police. Sports coordinator Vikas Kohli overseeing preparations.,UNCLASSIFIED,80
RPT0136,2024-12-08,OSINT,Civil Unrest,MEDIUM,Farmers Unity Forum protest continues in Kolkata for third consecutive day. Around 500 protesters blocking highway demanding better crop prices. Workers Welfare Association also joined the demonstration. Police monitoring situation closely.,RESTRICTED,61
RPT0142,2024-12-06,Informant,Diplomatic,MEDIUM,Delegation from Myanmar arrives in Kashmir for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,69
RPT0063,2024-12-04,OSINT,Entertainment,LOW,Bollywood production house announced shooting schedule at Kolkata. Film directed by renowned filmmaker expected to release next year. Mumbai Chamber of Commerce supporting local film initiatives.,UNCLASSIFIED,77
RPT0179,2024-10-09,Social Media,Terrorism,HIGH,Intelligence indicates Abdul Karim and Mohammad Bashir planning coordinated attack in Ahmedabad. Intercepted communications mention explosives procurement. Lashkar Network Kashmir Unit involvement suspected. ISI Karachi Operations may be providing logistical support.,SECRET,77
RPT0120,2024-12-02,Tip-off,Labor Dispute,MEDIUM,Workers at manufacturing facility in Chennai staging strike over wage disputes. Management in negotiations with union representatives. Al-Barkat Money Exchange handling worker remittances under scrutiny.,RESTRICTED,80
RPT0123,2024-10-12,Cyber Intel,Diplomatic,MEDIUM,Delegation from Myanmar arrives in Jaipur for trade discussions. Meetings scheduled with commerce ministry officials. Kashmir Valley Traders seeking bilateral agreement amendments.,RESTRICTED,84
RPT0106,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Pune.,UNCLASSIFIED,89
RPT0054,2024-11-03,Media Monitoring,Weather,LOW,Meteorological department predicts heavy rainfall in Hyderabad region. Schools advised to remain closed for two days. Local authorities coordinating with National Sports Federation for event rescheduling.,UNCLASSIFIED,83
RPT0006,2024-11-13,Media Monitoring,Education,LOW,CBSE announces board exam dates for 2025. Over 2 million students expected to appear nationwide. Education Minister Meena Desai released official notification from Bangalore.,UNCLASSIFIED,85
RPT0163,2024-12-02,Cyber Intel,Radicalization,HIGH,Online propaganda spread by Jaish Module Pulwama Cell targeting youth in Chennai region. Social media accounts promoting extremist ideology identified. Junaid Afridi suspected of content creation. D-Company Dubai Branch funding operation.,SECRET,92
RPT0004,2024-10-04,Social Media,Infrastructure,LOW,Highway construction project between Chennai and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,88
RPT0168,2024-10-18,Satellite,Maritime Threat,HIGH,"Unidentified vessel spotted 15 nautical miles from Bangalore coast. Not responding to coast guard signals, possible smuggling attempt. Border Weapon Smuggling Network suspected. Golden Triangle Connection drug shipment likely.",SECRET,80
RPT0050,2024-12-07,Social Media,Infrastructure,LOW,Highway construction project between Mumbai and Delhi nearing completion. Expected to reduce travel time by 3 hours. Global Consulting Group provided project management services.,UNCLASSIFIED,77
